route_id,number_of_buses,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,number_of_cancellations,cancellation_rate
275-318,918,34,34,34,34,0,34,34,34,34,34,34,0,34,34,34,34,34,34,0,34,34,34,34,34,34,0,34,34,34,34,34,0,0.0
277-318,1512,56,56,56,56,0,56,56,56,56,56,56,0,56,56,56,56,56,56,0,56,56,56,56,56,56,0,56,56,56,56,56,1,0.0006613756613756613
278-318,1350,50,50,50,50,0,50,50,50,50,50,50,0,50,50,50,50,50,50,0,50,50,50,50,50,50,0,50,50,50,50,50,3,0.0022222222222222222
28-318,4800,160,160,160,160,120,160,160,160,160,160,160,120,160,160,160,160,160,160,120,160,160,160,160,160,160,120,160,160,160,160,160,0,0.0
282-318,918,34,34,34,34,0,34,34,34,34,34,34,0,34,34,34,34,34,34,0,34,34,34,34,34,34,0,34,34,34,34,34,0,0.0
283-318,432,16,16,16,16,0,16,16,16,16,16,16,0,16,16,16,16,16,16,0,16,16,16,16,16,16,0,16,16,16,16,16,0,0.0
284-318,1188,44,44,44,44,0,44,44,44,44,44,44,0,44,44,44,44,44,44,0,44,44,44,44,44,44,0,44,44,44,44,44,1,0.0008417508417508417
290-318,756,28,28,28,28,0,28,28,28,28,28,28,0,28,28,28,28,28,28,0,28,28,28,28,28,28,0,28,28,28,28,28,0,0.0
291-318,864,32,32,32,32,0,32,32,32,32,32,32,0,32,32,32,32,32,32,0,32,32,32,32,32,32,0,32,32,32,32,32,1,0.0011574074074074073
294-318,864,32,32,32,32,0,32,32,32,32,32,32,0,32,32,32,32,32,32,0,32,32,32,32,32,32,0,32,32,32,32,32,2,0.0023148148148148147
299-318,216,8,8,8,8,0,8,8,8,8,8,8,0,8,8,8,8,8,8,0,8,8,8,8,8,8,0,8,8,8,8,8,0,0.0
30-318,5834,198,198,198,198,122,198,198,198,198,198,198,122,198,198,198,198,198,198,122,198,198,198,198,198,198,122,198,198,198,198,198,5,0.0008570449091532396
301-318,54,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,0,0.0
302-318,54,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,0,0.0
303-318,54,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,0,0.0
304-318,54,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,0,0.0
305-318,54,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,0,0.0
31-318,540,20,20,20,20,0,20,20,20,20,20,20,0,20,20,20,20,20,20,0,20,20,20,20,20,20,0,20,20,20,20,20,0,0.0
32-318,1028,36,36,36,36,14,36,36,36,36,36,36,14,36,36,36,36,36,36,14,36,36,36,36,36,36,14,36,36,36,36,36,0,0.0
33-318,2646,98,98,98,98,0,98,98,98,98,98,98,0,98,98,98,98,98,98,0,98,98,98,98,98,98,0,98,98,98,98,98,3,0.0011337868480725624
34-318,4482,150,150,150,150,108,150,150,150,150,150,150,108,150,150,150,150,150,150,108,150,150,150,150,150,150,108,150,150,150,150,150,3,0.0006693440428380187
35-318,4346,142,142,142,142,128,142,142,142,142,142,142,128,142,142,142,142,142,142,128,142,142,142,142,142,142,128,142,142,142,142,142,1,0.0002300966405890474
37-318,2160,80,80,80,80,0,80,80,80,80,80,80,0,80,80,80,80,80,80,0,80,80,80,80,80,80,0,80,80,80,80,80,0,0.0
38-318,5212,172,172,172,172,142,172,172,172,172,172,172,142,172,172,172,172,172,172,142,172,172,172,172,172,172,142,172,172,172,172,172,4,0.0007674597083653108
39-318,12046,394,394,394,394,352,394,394,394,394,394,394,352,394,394,394,394,394,394,352,394,394,394,394,394,394,352,394,394,394,394,394,11,0.0009131661962477171
40-318,8946,286,286,286,286,306,286,286,286,286,286,286,306,286,286,286,286,286,286,306,286,286,286,286,286,286,306,286,286,286,286,286,2,0.000223563603845294
42-318,4428,148,148,148,148,108,148,148,148,148,148,148,108,148,148,148,148,148,148,108,148,148,148,148,148,148,108,148,148,148,148,148,0,0.0
44-318,7924,260,260,260,260,226,260,260,260,260,260,260,226,260,260,260,260,260,260,226,260,260,260,260,260,260,226,260,260,260,260,260,3,0.0003785966683493185
45-318,8048,272,272,272,272,176,272,272,272,272,272,272,176,272,272,272,272,272,272,176,272,272,272,272,272,272,176,272,272,272,272,272,1,0.00012425447316103378
46-318,7328,248,248,248,248,158,248,248,248,248,248,248,158,248,248,248,248,248,248,158,248,248,248,248,248,248,158,248,248,248,248,248,5,0.0006823144104803493
47-318,864,32,32,32,32,0,32,32,32,32,32,32,0,32,32,32,32,32,32,0,32,32,32,32,32,32,0,32,32,32,32,32,0,0.0
48-318,4576,152,152,152,152,118,152,152,152,152,152,152,118,152,152,152,152,152,152,118,152,152,152,152,152,152,118,152,152,152,152,152,3,0.0006555944055944056
49-318,2482,86,86,86,86,40,86,86,86,86,86,86,40,86,86,86,86,86,86,40,86,86,86,86,86,86,40,86,86,86,86,86,0,0.0
5-318,5388,180,180,180,180,132,180,180,180,180,180,180,132,180,180,180,180,180,180,132,180,180,180,180,180,180,132,180,180,180,180,180,2,0.0003711952487008166
50-318,4224,144,144,144,144,84,144,144,144,144,144,144,84,144,144,144,144,144,144,84,144,144,144,144,144,144,84,144,144,144,144,144,1,0.00023674242424242425
